,asset_1,asset_2,asset_1_name,asset_2_name,A,B,l_max,theta,mu,sigma,x_0,x_T,d_star,b_star,t_first_d_star,t_first_b_star
868,A250780,A150460,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 중국소비테마', 'china,retail')",1.0,0.718593,3.4752,1.7597207453728496,6.584578597272969,0.20393830915589248,1.7185929648241207,1.811807787658473,1.5979899497487438,1.879396984924623,inf,223.0
869,A250780,A228810,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 미디어컨텐츠', 'retail')",1.0,0.497487,3.490007,1.5176082340515271,7.949364630851277,0.20244206868250636,1.4974874371859297,1.4713763851083181,1.3668341708542713,1.6281407035175879,329.0,inf
870,A250780,A139220,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 200 건설', 'utilities')",1.0,0.517588,3.395251,1.5242696567587102,15.228745538308887,0.22763938051440172,1.5175879396984926,1.5560875610982676,1.3969849246231156,1.6180904522613067,inf,230.0
871,A250780,A117680,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 철강', 'commodity')",1.0,0.236181,3.281351,1.2017410423900725,10.887433709866512,0.25396188498296085,1.236180904522613,1.2048712336077683,1.035175879396985,1.3366834170854272,inf,248.0
872,A250780,A174350,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 로우볼', 'volatility')",1.0,0.748744,3.354036,1.7182819465270593,9.28679125288015,0.23654897416398069,1.7487437185929648,1.7078542905387133,1.5577889447236182,1.8391959798994975,inf,inf
873,A250780,A244670,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX 밸류Plus', 'value')",1.0,0.708543,3.445957,1.7362852956563009,7.8778801756719306,0.21260835058472435,1.7085427135678393,1.7961551517754466,1.5778894472361809,1.849246231155779,inf,216.0
874,A250780,A322150,"('TIGER 코스닥150선물인버스', 'inverse')","('KINDEX 스마트하이베타', 'factor-model')",1.0,0.849246,3.596736,1.9150141781272096,9.447232114258192,0.18283869931990468,1.849246231155779,1.9741120038696156,1.7889447236180904,2.0,inf,209.0
875,A250780,A337120,"('TIGER 코스닥150선물인버스', 'inverse')","('KODEX Fn멀티팩터', 'factor-model')",1.0,0.929648,3.582508,1.979153579141167,9.559550734447992,0.18491817899980575,1.92964824120603,2.03346401479941,1.849246231155779,2.0,inf,200.0
876,A250780,A147970,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 모멘텀', 'momentum')",1.0,0.688442,3.400599,1.6620777548963028,10.30767362069915,0.22824979768222842,1.6884422110552764,1.6601122975457883,1.5075376884422111,1.778894472361809,inf,inf
877,A250780,A243880,"('TIGER 코스닥150선물인버스', 'inverse')","('TIGER 200IT레버리지', 'leverage,technology')",1.0,0.266332,3.533524,1.3205477894026154,12.691131238365749,0.20008744939908318,1.2663316582914572,1.362525547462699,1.1959798994974875,1.4170854271356783,inf,232.0
